lemma,present_phones,past_phones
undo,AH N D UW,AH N D IH D
remain,R IH M EY N,R IH M EY N D
develop,D IH V EH L AH P,D IH V EH L AH P T
passe,P AE S EY,P AE S T
it,IH T,IH T
use,Y UW S,Y UW Z D
catch,K AE CH,K AA T
use,Y UW S,Y UW Z D
fall,F AO L,F EH L
unite,Y UW N AY T,Y UW N AY T IH D
trot,T R AA T,T R AA T IH D
leave,L IY V,L EH F T
receive,R AH S IY V,R AH S IY V D
give,G IH V,G EY V
de,D IY,D IH D
complete,K AH M P L IY T,K AH M P L IY T AH D
it,IH T,IH T
light,L AY T,L IH T
call,K AO L,K AO L D
it,IH T,IH T
hurt,HH ER T,HH ER T
push,P UH SH,P UH SH T
have,HH AE V,HH AE D
it,IH T,IH T
whet,W EH T,W EH T IH D
feel,F IY L,F EH L T
describe,D IH S K R AY B,D IH S K R AY B D
it,IH T,IH T
speak,S P IY K,S P OW K
examine,IH G Z AE M IH N,IH G Z AE M AH N D
mount,M AW N T,M AW N T AH D
de,D IY,D IH D
meet,M IY T,M EH T
it,IH T,IH T
organize,AO R G AH N AY Z,AO R G AH N AY Z D
it,IH T,IH T
use,Y UW S,Y UW Z D
say,S EY,S EH D
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
help,HH EH L P,HH EH L P T
think,TH IH NG K,TH AO T
de,D IY,D IH D
make,M EY K,M EY D
judge,JH AH JH,JH AH JH D
have,HH AE V,HH AE D
initiate,IH N IH SH IY EY T,IH N IH SH IY EY T AH D
it,IH T,IH T
it,IH T,IH T
subject,S AH B JH EH K T,S AH B JH EH K T IH D
lift,L IH F T,L IH F T AH D
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
doe,D OW,D IH D
signify,S IH G N AH F AY,S IH G N AH F AY D
it,IH T,IH T
soak,S OW K,S OW K T
base,B EY S,B EY S T
feel,F IY L,F EH L T
base,B EY S,B EY S T
say,S EY,S EH D
it,IH T,IH T
put,P UH T,P UH T
receive,R AH S IY V,R AH S IY V D
show,SH OW,SH OW D
cut,K AH T,K AH T
give,G IH V,G EY V
leave,L IY V,L EH F T
press,P R EH S,P R EH S T
visit,V IH Z IH T,V IH Z IH T IH D
write,R AY T,R OW T
call,K AO L,K AO L D
use,Y UW S,Y UW Z D
mark,M AA R K,M AA R K T
remain,R IH M EY N,R IH M EY N D
wear,W EH R,W AO R
it,IH T,IH T
emaciate,IH M EY SH IY EY T,IH M EY SH IY EY T IH D
express,IH K S P R EH S,IH K S P R EH S T
bring,B R IH NG,B R AO T
line,L AY N,L AY N D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
it,IH T,IH T
it,IH T,IH T
hide,HH AY D,HH IH D
it,IH T,IH T
it,IH T,IH T
carry,K AE R IY,K AE R IY D
replace,R IY P L EY S,R IY P L EY S T
express,IH K S P R EH S,IH K S P R EH S T
catch,K AE CH,K AA T
it,IH T,IH T
worth,W ER TH,W ER TH
passe,P AE S EY,P AE S T
realise,R IY AH L AY Z,R IY AH L AY Z D
pay,P EY,P EY D
have,HH AE V,HH AE D
say,S EY,S EH D
remain,R IH M EY N,R IH M EY N D
cum,K AH M,K EY M
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
shoot,SH UW T,SH AA T
solve,S AA L V,S AA L V D
receive,R AH S IY V,R AH S IY V D
frustrate,F R AH S T R EY T,F R AH S T R EY T AH D
it,IH T,IH T
waive,W EY V,W EY V D
wave,W EY V,W EY V D
unite,Y UW N AY T,Y UW N AY T IH D
use,Y UW S,Y UW Z D
propose,P R AH P OW Z,P R AH P OW Z D
it,IH T,IH T
marke,M AA R K,M AA R K T
have,HH AE V,HH AE D
unify,Y UW N AH F AY,Y UW N AH F AY D
realize,R IY AH L AY Z,R IY AH L AY Z D
it,IH T,IH T
press,P R EH S,P R EH S T
hear,HH IY R,HH ER D
set,S EH T,S EH T
gain,G EY N,G EY N D
it,IH T,IH T
it,IH T,IH T
cut,K AH T,K AH T
it,IH T,IH T
hear,HH IY R,HH ER D
think,TH IH NG K,TH AO T
it,IH T,IH T
de,D IY,D IH D
it,IH T,IH T
it,IH T,IH T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
grow,G R OW,G R UW
it,IH T,IH T
define,D IH F AY N,D IH F AY N D
express,IH K S P R EH S,IH K S P R EH S T
release,R IY L IY S,R IY L IY S T
supply,S AH P L AY,S AH P L AY D
it,IH T,IH T
it,IH T,IH T
start,S T AA R T,S T AA R T IH D
it,IH T,IH T
expose,IH K S P OW Z,IH K S P OW Z D
understand,AH N D ER S T AE N D,AH N D ER S T UH D
assure,AH SH UH R,AH SH UH R D
split,S P L IH T,S P L IH T
go,G OW,W EH N T
call,K AO L,K AO L D
predicate,P R EH D AH K EY T,P R EH D AH K EY T IH D
marry,M EH R IY,M EH R IY D
it,IH T,IH T
enter,EH N T ER,EH N T ER D
begin,B IH G IH N,B IH G AE N
it,IH T,IH T
limit,L IH M AH T,L IH M AH T AH D
entitle,EH N T AY T AH L,EH N T AY T AH L D
remain,R IH M EY N,R IH M EY N D
cum,K AH M,K EY M
fold,F OW L D,F OW L D AH D
point,P OY N T,P OY N T IH D
close,K L OW S,K L OW Z D
fall,F AO L,F EH L
go,G OW,W EH N T
split,S P L IH T,S P L IH T
it,IH T,IH T
debate,D AH B EY T,D AH B EY T IH D
make,M EY K,M EY D
tweak,T W IY K,T W IY K T
it,IH T,IH T
ratify,R AE T AH F AY,R AE T AH F AY D
enter,EH N T ER,EH N T ER D
assume,AH S UW M,AH S UW M D
wash,W AA SH,W AA SH T
pass,P AE S,P AE S T
send,S EH N D,S EH N T
it,IH T,IH T
it,IH T,IH T
cum,K AH M,K EY M
provide,P R AH V AY D,P R AH V AY D IH D
pass,P AE S,P AE S T
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
develop,D IH V EH L AH P,D IH V EH L AH P T
make,M EY K,M EY D
it,IH T,IH T
forecast,F AO R K AE S T,F AO R K AE S T
cause,K AA Z,K AA Z D
write,R AY T,R OW T
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
say,S EY,S EH D
stop,S T AA P,S T AA P T
passe,P AE S EY,P AE S T
mention,M EH N SH AH N,M EH N SH AH N D
have,HH AE V,HH AE D
influence,IH N F L UW AH N S,IH N F L UW AH N S T
achieve,AH CH IY V,AH CH IY V D
cause,K AA Z,K AA Z D
use,Y UW S,Y UW Z D
have,HH AE V,HH AE D
block,B L AA K,B L AA K T
it,IH T,IH T
say,S EY,S EH D
it,IH T,IH T
depress,D IH P R EH S,D IH P R EH S T
define,D IH F AY N,D IH F AY N D
say,S EY,S EH D
it,IH T,IH T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
flare,F L EH R,F L EH R D
leave,L IY V,L EH F T
base,B EY S,B EY S T
say,S EY,S EH D
doe,D OW,D IH D
treat,T R IY T,T R IY T IH D
say,S EY,S EH D
curtail,K ER T EY L,K ER T EY L D
have,HH AE V,HH AE D
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
have,HH AE V,HH AE D
edit,EH D AH T,EH D AH T AH D
relate,R IH L EY T,R IH L EY T IH D
it,IH T,IH T
tackle,T AE K AH L,T AE K AH L D
have,HH AE V,HH AE D
bury,B EH R IY,B EH R IY D
bend,B EH N D,B EH N T
boil,B OY L,B OY L D
develop,D IH V EH L AH P,D IH V EH L AH P T
doe,D OW,D IH D
begin,B IH G IH N,B IH G AE N
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
call,K AO L,K AO L D
it,IH T,IH T
have,HH AE V,HH AE D
violate,V AY AH L EY T,V AY AH L EY T IH D
vanish,V AE N IH SH,V AE N IH SH T
trouble,T R AH B AH L,T R AH B AH L D
use,Y UW S,Y UW Z D
become,B IH K AH M,B IH K EY M
grow,G R OW,G R UW
drive,D R AY V,D R OW V
survive,S ER V AY V,S ER V AY V D
reduce,R AH D UW S,R AH D UW S T
prove,P R UW V,P R UW V D
sleep,S L IY P,S L EH P T
doe,D OW,D IH D
cry,K R AY,K R AY D
set,S EH T,S EH T
dismiss,D IH S M IH S,D IH S M IH S T
unite,Y UW N AY T,Y UW N AY T IH D
write,R AY T,R OW T
influence,IH N F L UW AH N S,IH N F L UW AH N S T
burn,B ER N,B ER N D
split,S P L IH T,S P L IH T
it,IH T,IH T
it,IH T,IH T
roll,R OW L,R OW L D
have,HH AE V,HH AE D
interrupt,IH N T ER AH P T,IH N T ER AH P T IH D
it,IH T,IH T
buy,B AY,B AA T
it,IH T,IH T
pierce,P IH R S,P IH R S T
go,G OW,W EH N T
leave,L IY V,L EH F T
nod,N AA D,N AA D AH D
upholster,AH P OW L S T ER,AH P OW L S T ER D
it,IH T,IH T
it,IH T,IH T
get,G EH T,G AA T
it,IH T,IH T
set,S EH T,S EH T
admit,AH D M IH T,AH D M IH T IH D
it,IH T,IH T
send,S EH N D,S EH N T
abolish,AH B AA L IH SH,AH B AA L IH SH T
doe,D OW,D IH D
examine,IH G Z AE M IH N,IH G Z AE M AH N D
it,IH T,IH T
it,IH T,IH T
de,D IY,D IH D
bring,B R IH NG,B R AO T
it,IH T,IH T
cum,K AH M,K EY M
make,M EY K,M EY D
preoccupy,P R IY AA K Y AH P AY,P R IY AA K Y AH P AY D
reside,R IH Z AY D,R IH Z AY D IH D
shoot,SH UW T,SH AA T
notice,N OW T AH S,N OW T AH S T
cripple,K R IH P AH L,K R IH P AH L D
cultivate,K AH L T AH V EY T,K AH L T AH V EY T IH D
it,IH T,IH T
stage,S T EY JH,S T EY JH D
force,F AO R S,F AO R S T
shoot,SH UW T,SH AA T
determine,D AH T ER M AH N,D IH T ER M AH N D
isolate,AY S AH L EY T,AY S AH L EY T AH D
doe,D OW,D IH D
grow,G R OW,G R UW
disguise,D IH S G AY Z,D IH S G AY Z D
prefer,P R AH F ER,P R AH F ER D
entitle,EH N T AY T AH L,EH N T AY T AH L D
break,B R EY K,B R OW K
it,IH T,IH T
pay,P EY,P EY D
make,M EY K,M EY D
cum,K AH M,K EY M
have,HH AE V,HH AE D
cum,K AH M,K EY M
sentence,S EH N T AH N S,S EH N T AH N S T
begin,B IH G IH N,B IH G AE N
open,OW P AH N,OW P AH N D
perceive,P ER S IY V,P ER S IY V D
reduce,R AH D UW S,R AH D UW S T
it,IH T,IH T
preserve,P R AH Z ER V,P R AH Z ER V D
it,IH T,IH T
have,HH AE V,HH AE D
induce,IH N D UW S,IH N D UW S T
have,HH AE V,HH AE D
put,P UH T,P UH T
fuck,F AH K,F AH K T
desire,D IH Z AY ER,D IH Z AY ER D
standardize,S T AE N D ER D AY Z,S T AE N D ER D AY Z D
doe,D OW,D IH D
sand,S AE N D,S AE N D IH D
crown,K R AW N,K R AW N D
have,HH AE V,HH AE D
propose,P R AH P OW Z,P R AH P OW Z D
edit,EH D AH T,EH D AH T AH D
it,IH T,IH T
doe,D OW,D IH D
bend,B EH N D,B EH N T
it,IH T,IH T
it,IH T,IH T
stir,S T ER,S T ER D
de,D IY,D IH D
call,K AO L,K AO L D
sink,S IH NG K,S AE NG K
it,IH T,IH T
growl,G R AW L,G R AW L D
start,S T AA R T,S T AA R T IH D
doe,D OW,D IH D
it,IH T,IH T
it,IH T,IH T
build,B IH L D,B IH L T
use,Y UW S,Y UW Z D
marke,M AA R K,M AA R K T
resort,R IH Z AO R T,R IH Z AO R T IH D
it,IH T,IH T
it,IH T,IH T
advance,AH D V AE N S,AH D V AE N S T
crown,K R AW N,K R AW N D
borrow,B AA R OW,B AA R OW D
exclaim,IH K S K L EY M,IH K S K L EY M D
unite,Y UW N AY T,Y UW N AY T IH D
leave,L IY V,L EH F T
sit,S IH T,S AE T
desire,D IH Z AY ER,D IH Z AY ER D
mobilize,M OW B AH L AY Z,M OW B AH L AY Z D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
go,G OW,W EH N T
drop,D R AA P,D R AA P T
it,IH T,IH T
expire,IH K S P AY R,IH K S P AY R D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
charge,CH AA R JH,CH AA R JH D
break,B R EY K,B R OW K
have,HH AE V,HH AE D
passe,P AE S EY,P AE S T
pass,P AE S,P AE S T
have,HH AE V,HH AE D
shake,SH EY K,SH UH K
leave,L IY V,L EH F T
hear,HH IY R,HH ER D
process,P R AA S EH S,P R AA S EH S T
marry,M EH R IY,M EH R IY D
it,IH T,IH T
bring,B R IH NG,B R AO T
express,IH K S P R EH S,IH K S P R EH S T
subjugate,S AH B JH AH G EY T,S AH B JH AH G EY T IH D
unite,Y UW N AY T,Y UW N AY T IH D
onset,AA N S EH T,AA N S EH T
compel,K AH M P EH L,K AH M P EH L D
it,IH T,IH T
it,IH T,IH T
make,M EY K,M EY D
cry,K R AY,K R AY D
award,AH W AO R D,AH W AO R D IH D
say,S EY,S EH D
face,F EY S,F EY S T
contrive,K AH N T R AY V,K AH N T R AY V D
gleam,G L IY M,G L IY M D
repair,R IH P EH R,R IH P EH R D
write,R AY T,R OW T
say,S EY,S EH D
create,K R IY EY T,K R IY EY T AH D
have,HH AE V,HH AE D
treat,T R IY T,T R IY T IH D
cost,K AA S T,K AA S T
have,HH AE V,HH AE D
prescribe,P R AH S K R AY B,P R IY S K R AY B D
climb,K L AY M,K L AY M D
have,HH AE V,HH AE D
it,IH T,IH T
consist,K AH N S IH S T,K AH N S IH S T AH D
use,Y UW S,Y UW Z D
prepare,P R IY P EH R,P R IY P EH R D
make,M EY K,M EY D
have,HH AE V,HH AE D
it,IH T,IH T
line,L AY N,L AY N D
rock,R AA K,R AA K T
understand,AH N D ER S T AE N D,AH N D ER S T UH D
say,S EY,S EH D
manifest,M AE N AH F EH S T,M AE N AH F EH S T AH D
drive,D R AY V,D R OW V
enter,EH N T ER,EH N T ER D
it,IH T,IH T
pronounce,P R AH N AW N S,P R AH N AW N S T
refer,R AH F ER,R AH F ER D
winge,W IH N JH,W IH NG D
correlate,K AO R AH L EY T,K AO R AH L EY T AH D
call,K AO L,K AO L D
relate,R IH L EY T,R IH L EY T IH D
vanish,V AE N IH SH,V AE N IH SH T
growl,G R AW L,G R AW L D
it,IH T,IH T
have,HH AE V,HH AE D
argue,AA R G Y UW,AA R G Y UW D
prove,P R UW V,P R UW V D
it,IH T,IH T
say,S EY,S EH D
laugh,L AE F,L AE F T
apply,AH P L AY,AH P L AY D
comment,K AA M EH N T,K AA M EH N T AH D
develop,D IH V EH L AH P,D IH V EH L AH P T
remove,R IY M UW V,R IY M UW V D
say,S EY,S EH D
it,IH T,IH T
eye,AY,AY D
cum,K AH M,K EY M
crowd,K R AW D,K R AW D AH D
resend,R IH Z EH N D,R IH Z EH N T
set,S EH T,S EH T
oppose,AH P OW Z,AH P OW Z D
handle,HH AE N D AH L,HH AE N D AH L D
receive,R AH S IY V,R AH S IY V D
outrage,AW T R EY JH,AW T R EY JH D
it,IH T,IH T
have,HH AE V,HH AE D
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
de,D IY,D IH D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
put,P UH T,P UH T
aggregate,AE G R AH G AH T,AE G R AH G EY T IH D
devote,D IH V OW T,D IH V OW T IH D
remain,R IH M EY N,R IH M EY N D
hear,HH IY R,HH ER D
it,IH T,IH T
cum,K AH M,K EY M
apply,AH P L AY,AH P L AY D
start,S T AA R T,S T AA R T IH D
make,M EY K,M EY D
it,IH T,IH T
de,D IY,D IH D
locate,L OW K EY T,L OW K EY T AH D
have,HH AE V,HH AE D
set,S EH T,S EH T
address,AE D R EH S,AH D R EH S T
complete,K AH M P L IY T,K AH M P L IY T AH D
have,HH AE V,HH AE D
express,IH K S P R EH S,IH K S P R EH S T
mark,M AA R K,M AA R K T
assume,AH S UW M,AH S UW M D
it,IH T,IH T
say,S EY,S EH D
achieve,AH CH IY V,AH CH IY V D
reveal,R IH V IY L,R IH V IY L D
submit,S AH B M IH T,S AH B M IH T IH D
cause,K AA Z,K AA Z D
mean,M IY N,M EH N T
write,R AY T,R OW T
say,S EY,S EH D
carry,K AE R IY,K AE R IY D
it,IH T,IH T
base,B EY S,B EY S T
shout,SH AW T,SH AW T IH D
it,IH T,IH T
it,IH T,IH T
come,K AH M,K EY M
it,IH T,IH T
make,M EY K,M EY D
crowd,K R AW D,K R AW D AH D
it,IH T,IH T
say,S EY,S EH D
cause,K AA Z,K AA Z D
leave,L IY V,L EH F T
embed,IH M B EH D,EH M B EH D IH D
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
leave,L IY V,L EH F T
supervise,S UW P ER V AY Z,S UW P ER V AY Z D
heat,HH IY T,HH IY T AH D
employ,EH M P L OY,EH M P L OY D
agree,AH G R IY,AH G R IY D
mention,M EH N SH AH N,M EH N SH AH N D
it,IH T,IH T
flush,F L AH SH,F L AH SH T
mean,M IY N,M EH N T
doe,D OW,D IH D
eye,AY,AY D
blot,B L AA T,B L AA T AH D
it,IH T,IH T
send,S EH N D,S EH N T
it,IH T,IH T
pass,P AE S,P AE S T
propose,P R AH P OW Z,P R AH P OW Z D
it,IH T,IH T
recognise,R EH K AH G N AY Z,R EH K AH G N AY Z D
call,K AO L,K AO L D
answer,AE N S ER,AE N S ER D
plunge,P L AH N JH,P L AH N JH D
leave,L IY V,L EH F T
send,S EH N D,S EH N T
read,R EH D,R EH D
join,JH OY N,JH OY N D
compose,K AH M P OW Z,K AH M P OW Z D
say,S EY,S EH D
produce,P R AH D UW S,P R AH D UW S T
determine,D AH T ER M AH N,D IH T ER M AH N D
feel,F IY L,F EH L T
use,Y UW S,Y UW Z D
set,S EH T,S EH T
it,IH T,IH T
study,S T AH D IY,S T AH D IY D
have,HH AE V,HH AE D
it,IH T,IH T
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
rivet,R IH V AH T,R IH V AH T IH D
send,S EH N D,S EH N T
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
warm,W AO R M,W AO R M D
scream,S K R IY M,S K R IY M D
set,S EH T,S EH T
feel,F IY L,F EH L T
it,IH T,IH T
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
receive,R AH S IY V,R AH S IY V D
transmit,T R AE N Z M IH T,T R AE N S M IH T IH D
it,IH T,IH T
propel,P R AH P EH L,P R AH P EH L D
prove,P R UW V,P R UW V D
observe,AH B Z ER V,AH B Z ER V D
it,IH T,IH T
have,HH AE V,HH AE D
carry,K AE R IY,K AE R IY D
give,G IH V,G EY V
carry,K AE R IY,K AE R IY D
it,IH T,IH T
calibrate,K AE L AH B R EY T,K AE L AH B R EY T AH D
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
create,K R IY EY T,K R IY EY T AH D
cram,K R AE M,K R AE M D
open,OW P AH N,OW P AH N D
supply,S AH P L AY,S AH P L AY D
irrigate,IH R AH G EY T,IH R AH G EY T IH D
fall,F AO L,F EH L
it,IH T,IH T
observe,AH B Z ER V,AH B Z ER V D
it,IH T,IH T
it,IH T,IH T
base,B EY S,B EY S T
it,IH T,IH T
curtail,K ER T EY L,K ER T EY L D
it,IH T,IH T
go,G OW,W EH N T
describe,D IH S K R AY B,D IH S K R AY B D
agree,AH G R IY,AH G R IY D
let,L EH T,L EH T
specify,S P EH S AH F AY,S P EH S AH F AY D
examine,IH G Z AE M IH N,IH G Z AE M AH N D
de,D IY,D IH D
hope,HH OW P,HH OW P T
record,R AH K AO R D,R AH K AO R D IH D
it,IH T,IH T
relate,R IH L EY T,R IH L EY T IH D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
it,IH T,IH T
express,IH K S P R EH S,IH K S P R EH S T
fade,F EY D,F EY D AH D
it,IH T,IH T
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
rush,R AH SH,R AH SH T
replace,R IY P L EY S,R IY P L EY S T
have,HH AE V,HH AE D
doe,D OW,D IH D
determine,D AH T ER M AH N,D IH T ER M AH N D
shake,SH EY K,SH UH K
renew,R IH N UW,R IH N UW D
float,F L OW T,F L OW T AH D
get,G EH T,G AA T
catch,K AE CH,K AA T
employ,EH M P L OY,EH M P L OY D
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
say,S EY,S EH D
de,D IY,D IH D
cut,K AH T,K AH T
it,IH T,IH T
doe,D OW,D IH D
have,HH AE V,HH AE D
become,B IH K AH M,B IH K EY M
recount,R IH K AW N T,R IH K AW N T IH D
passe,P AE S EY,P AE S T
allege,AH L EH JH,AH L EH JH D
it,IH T,IH T
marry,M EH R IY,M EH R IY D
say,S EY,S EH D
employ,EH M P L OY,EH M P L OY D
coast,K OW S T,K OW S T IH D
it,IH T,IH T
have,HH AE V,HH AE D
line,L AY N,L AY N D
purchase,P ER CH AH S,P ER CH AH S T
push,P UH SH,P UH SH T
alienate,EY L Y AH N EY T,EY L IY AH N EY T IH D
evoke,IH V OW K,IH V OW K T
it,IH T,IH T
traumatize,T R AO M AH T AY Z,T R AO M AH T AY Z D
let,L EH T,L EH T
set,S EH T,S EH T
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
have,HH AE V,HH AE D
leave,L IY V,L EH F T
make,M EY K,M EY D
it,IH T,IH T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
invade,IH N V EY D,IH N V EY D AH D
cause,K AA Z,K AA Z D
it,IH T,IH T
float,F L OW T,F L OW T AH D
leave,L IY V,L EH F T
focus,F OW K AH S,F OW K AH S T
elevate,EH L AH V EY T,EH L AH V EY T IH D
carry,K AE R IY,K AE R IY D
have,HH AE V,HH AE D
receive,R AH S IY V,R AH S IY V D
locate,L OW K EY T,L OW K EY T AH D
write,R AY T,R OW T
list,L IH S T,L IH S T AH D
twist,T W IH S T,T W IH S T IH D
aggravate,AE G R AH V EY T,AE G R AH V EY T IH D
marke,M AA R K,M AA R K T
give,G IH V,G EY V
it,IH T,IH T
revive,R IH V AY V,R IH V AY V D
mention,M EH N SH AH N,M EH N SH AH N D
kindle,K IH N D AH L,K IH N D AH L D
cost,K AA S T,K AA S T
it,IH T,IH T
derive,D ER AY V,D ER AY V D
base,B EY S,B EY S T
sell,S EH L,S OW L D
use,Y UW S,Y UW Z D
insert,IH N S ER T,IH N S ER T AH D
de,D IY,D IH D
pat,P AE T,P AE T IH D
spin,S P IH N,S P AH N
move,M UW V,M UW V D
point,P OY N T,P OY N T IH D
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
use,Y UW S,Y UW Z D
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
locate,L OW K EY T,L OW K EY T AH D
pass,P AE S,P AE S T
base,B EY S,B EY S T
compose,K AH M P OW Z,K AH M P OW Z D
prepare,P R IY P EH R,P R IY P EH R D
express,IH K S P R EH S,IH K S P R EH S T
it,IH T,IH T
situate,S IH CH UW EY T,S IH CH UW EY T IH D
spread,S P R EH D,S P R EH D
derive,D ER AY V,D ER AY V D
mark,M AA R K,M AA R K T
sit,S IH T,S AE T
it,IH T,IH T
make,M EY K,M EY D
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
have,HH AE V,HH AE D
face,F EY S,F EY S T
accede,AE K S IY D,AE K S IY D IH D
have,HH AE V,HH AE D
describe,D IH S K R AY B,D IH S K R AY B D
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
amend,AH M EH N D,AH M EH N D IH D
meet,M IY T,M EH T
string,S T R IH NG,S T R AH NG
it,IH T,IH T
marry,M EH R IY,M EH R IY D
assume,AH S UW M,AH S UW M D
inlet,IH N L EH T,IH N L EH T
it,IH T,IH T
move,M UW V,M UW V D
get,G EH T,G AA T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
it,IH T,IH T
use,Y UW S,Y UW Z D
doe,D OW,D IH D
relate,R IH L EY T,R IH L EY T IH D
say,S EY,S EH D
think,TH IH NG K,TH AO T
admit,AH D M IH T,AH D M IH T IH D
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
repute,R IY P Y UW T,R IH P Y UW T IH D
bring,B R IH NG,B R AO T
base,B EY S,B EY S T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
irrigate,IH R AH G EY T,IH R AH G EY T IH D
sit,S IH T,S AE T
call,K AO L,K AO L D
it,IH T,IH T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
build,B IH L D,B IH L T
doe,D OW,D IH D
clear,K L IH R,K L IH R D
it,IH T,IH T
have,HH AE V,HH AE D
stray,S T R EY,S T R EY D
say,S EY,S EH D
emerge,IH M ER JH,IH M ER JH D
it,IH T,IH T
make,M EY K,M EY D
write,R AY T,R OW T
begin,B IH G IH N,B IH G AE N
de,D IY,D IH D
enumerate,IH N UW M ER EY T,IH N UW M ER EY T IH D
say,S EY,S EH D
unite,Y UW N AY T,Y UW N AY T IH D
signify,S IH G N AH F AY,S IH G N AH F AY D
earn,ER N,ER N D
it,IH T,IH T
point,P OY N T,P OY N T IH D
accustom,AH K AH S T AH M,AH K AH S T AH M D
read,R EH D,R EH D
have,HH AE V,HH AE D
make,M EY K,M EY D
give,G IH V,G EY V
unite,Y UW N AY T,Y UW N AY T IH D
receive,R AH S IY V,R AH S IY V D
it,IH T,IH T
say,S EY,S EH D
spread,S P R EH D,S P R EH D
get,G EH T,G AA T
begin,B IH G IH N,B IH G AE N
get,G EH T,G AA T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
make,M EY K,M EY D
read,R EH D,R EH D
limit,L IH M AH T,L IH M AH T AH D
it,IH T,IH T
specialize,S P EH SH AH L AY Z,S P EH SH AH L AY Z D
make,M EY K,M EY D
require,R IY K W AY ER,R IY K W AY ER D
doe,D OW,D IH D
stratify,S T R AE T AH F AY,S T R AE T AH F AY D
come,K AH M,K EY M
it,IH T,IH T
set,S EH T,S EH T
face,F EY S,F EY S T
have,HH AE V,HH AE D
it,IH T,IH T
catch,K AE CH,K AA T
it,IH T,IH T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
get,G EH T,G AA T
it,IH T,IH T
read,R EH D,R EH D
it,IH T,IH T
have,HH AE V,HH AE D
deplete,D IH P L IY T,D IH P L IY T IH D
mind,M AY N D,M AY N D AH D
it,IH T,IH T
make,M EY K,M EY D
it,IH T,IH T
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
it,IH T,IH T
treat,T R IY T,T R IY T IH D
put,P UH T,P UH T
forecast,F AO R K AE S T,F AO R K AE S T
wee,W IY,W IY D
set,S EH T,S EH T
rout,R AW T,R UW T IH D
grip,G R IH P,G R IH P T
think,TH IH NG K,TH AO T
leave,L IY V,L EH F T
have,HH AE V,HH AE D
it,IH T,IH T
attack,AH T AE K,AH T AE K T
have,HH AE V,HH AE D
normalize,N AO R M AH L AY Z,N AO R M AH L AY Z D
saturate,S AE CH ER EY T,S AE CH ER EY T IH D
it,IH T,IH T
come,K AH M,K EY M
it,IH T,IH T
it,IH T,IH T
measure,M EH ZH ER,M EH ZH ER D
show,SH OW,SH OW D
await,AH W EY T,AH W EY T IH D
consume,K AH N S UW M,K AH N S UW M D
it,IH T,IH T
it,IH T,IH T
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
lay,L EY,L EY D
it,IH T,IH T
have,HH AE V,HH AE D
live,L AY V,L IH V D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
slip,S L IH P,S L IH P T
declare,D IH K L EH R,D IH K L EH R D
desire,D IH Z AY ER,D IH Z AY ER D
it,IH T,IH T
provide,P R AH V AY D,P R AH V AY D IH D
think,TH IH NG K,TH AO T
stare,S T EH R,S T EH R D
doe,D OW,D IH D
use,Y UW S,Y UW Z D
say,S EY,S EH D
